GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-crud-jpa-h2,com.edu.icesi.taller3,Taller3Application,38,3,6,0,8,1,4,1,1,1
spring-boot-crud-jpa-h2,com.edu.icesi.taller3.security,JWTAuthorizationFilter,26,3,4,0,7,1,3,1,1,1
spring-boot-crud-jpa-h2,com.edu.icesi.taller3.security,TokenUtils,69,0,0,0,22,0,4,0,4,0
spring-boot-crud-jpa-h2,com.edu.icesi.taller3.security,WebSecurityConfig,0,119,0,0,0,36,0,7,0,7
spring-boot-crud-jpa-h2,com.edu.icesi.taller3.security,UserDetailServiceImpl,35,3,0,0,8,1,2,1,2,1
spring-boot-crud-jpa-h2,com.edu.icesi.taller3.security,UserDetailsImpl,24,0,0,0,8,0,8,0,8,0
spring-boot-crud-jpa-h2,com.edu.icesi.taller3.security,JWTAuthenticationFilter,57,3,0,0,14,1,2,1,2,1
spring-boot-crud-jpa-h2,com.edu.icesi.taller3.security,AuthCredentials,115,0,22,0,3,0,20,0,9,0
spring-boot-crud-jpa-h2,com.edu.icesi.taller3.persistence.models,Author,77,90,21,9,0,6,17,10,2,10
spring-boot-crud-jpa-h2,com.edu.icesi.taller3.persistence.models,Usuario,98,26,22,0,0,5,15,6,4,6
spring-boot-crud-jpa-h2,com.edu.icesi.taller3.persistence.models,Book,104,106,26,12,0,7,22,11,4,10
spring-boot-crud-jpa-h2,com.edu.icesi.taller3.dtos,AuthorDto,167,0,30,0,7,0,27,0,12,0
spring-boot-crud-jpa-h2,com.edu.icesi.taller3.dtos,BookDto,210,0,38,0,8,0,33,0,14,0
spring-boot-crud-jpa-h2,com.edu.icesi.taller3.seeder,DataBaseSeeder,13,190,3,3,4,42,3,5,0,5
spring-boot-crud-jpa-h2,com.edu.icesi.taller3.services.impl,AuthorServiceImpl,4,53,2,2,2,14,2,6,0,6
spring-boot-crud-jpa-h2,com.edu.icesi.taller3.services.impl,BookServiceImpl,4,58,2,2,2,15,2,7,0,7
spring-boot-crud-jpa-h2,com.edu.icesi.taller3.services.impl,UserService,0,43,0,0,0,8,0,4,0,4
spring-boot-crud-jpa-h2,com.edu.icesi.taller3.components,BookMapper,50,3,0,0,12,1,2,1,2,1
spring-boot-crud-jpa-h2,com.edu.icesi.taller3.components,AuthorMapper,36,3,0,0,10,1,2,1,2,1
spring-boot-crud-jpa-h2,com.edu.icesi.taller3.controllers,AuthorController,178,3,6,0,28,1,14,1,11,1
spring-boot-crud-jpa-h2,com.edu.icesi.taller3.controllers,UserController,5,3,0,0,1,1,1,1,1,1
